City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
263,Weligama,LK,5.9667,80.4167,79.92,85,100,8.3,overcast clouds
264,Tecoanapa,MX,16.5167,-98.75,81.97,76,98,3.15,overcast clouds
265,Lorengau,PG,-2.0226,147.2712,78.33,81,99,4.45,overcast clouds
266,Cayenne,GF,4.9333,-52.3333,89.64,73,20,4.0,few clouds
267,Pacific Grove,US,36.6177,-121.9166,56.52,88,90,3.0,overcast clouds
268,Axim,GH,4.8699,-2.2405,81.73,71,37,8.77,scattered clouds
269,Ormara,PK,25.2088,64.6357,82.94,80,1,13.33,clear sky
270,Borovoy,RU,55.4333,86.0833,60.08,72,0,4.47,clear sky
271,Mahebourg,MU,-20.4081,57.7,73.69,83,75,8.05,light rain
272,Lavrentiya,RU,65.5833,-171.0,33.33,79,66,6.67,broken clouds
273,Klaksvik,FO,62.2266,-6.589,54.52,84,30,13.96,scattered clouds
274,Zarnovica,SK,48.4812,18.7157,82.67,48,98,5.53,overcast clouds
275,Chimoio,MZ,-19.1164,33.4833,85.86,35,13,13.8,haze
276,Dawson Creek,CA,55.7666,-120.2362,42.44,65,90,10.36,overcast clouds
277,Nuuk,GL,64.1835,-51.7216,36.21,75,75,10.36,broken clouds
278,Dzerzhinsk,RU,56.2389,43.4631,44.42,65,90,11.18,overcast clouds
279,Dosso,NE,13.049,3.1937,92.26,48,54,6.15,broken clouds
280,Tuatapere,NZ,-46.1333,167.6833,36.82,92,20,3.98,few clouds
281,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,71,79,12.26,broken clouds
282,Nyurba,RU,63.2842,118.3319,38.82,74,100,3.62,overcast clouds
283,Hollister,US,36.8525,-121.4016,56.08,86,90,0.0,overcast clouds
284,Bindura,ZW,-17.3019,31.3306,89.26,14,36,7.94,scattered clouds
285,San Carlos De Bariloche,AR,-41.1456,-71.3082,47.95,61,40,11.5,scattered clouds
286,Tagusao,PH,9.1924,117.8141,80.92,77,100,1.41,moderate rain
287,Freeport,US,40.6576,-73.5832,76.98,76,75,3.0,broken clouds
288,Teguise,ES,29.0605,-13.564,80.82,51,20,17.27,few clouds
289,Nachingwea,TZ,-10.3833,38.7667,83.39,46,50,8.88,scattered clouds
290,Saint George,US,37.1041,-113.5841,79.54,24,1,0.0,clear sky
291,Adrar,MR,20.5022,-10.0711,102.87,13,31,5.97,scattered clouds
292,Marquetalia,CO,5.2966,-75.055,73.02,58,24,5.06,few clouds
293,Sfantu Gheorghe,RO,45.8667,25.7833,75.65,44,34,0.98,scattered clouds
294,Ouegoa,NC,-20.35,164.4333,65.03,66,43,7.47,scattered clouds
295,Guarapari,BR,-20.6667,-40.4975,78.69,79,94,7.72,overcast clouds
296,Yichang,CN,30.7144,111.2847,79.23,71,100,2.48,light rain
297,Jackson,US,42.4165,-122.8345,54.64,74,1,0.0,clear sky
298,Boissevain,CA,49.2306,-100.0559,48.7,52,100,7.45,light rain
299,Lasa,IT,46.6166,10.7002,67.08,91,100,2.3,overcast clouds
300,Provideniya,RU,64.3833,-173.3,37.76,74,100,2.17,overcast clouds
301,Camana,PE,-16.6228,-72.7111,63.36,76,88,10.76,overcast clouds
302,Iracoubo,GF,5.4802,-53.2011,84.83,70,4,8.61,clear sky
303,Warrnambool,AU,-38.3833,142.4833,47.8,82,6,13.62,clear sky
304,Mayya,RU,61.7333,130.2811,47.52,98,100,3.6,light rain
305,Salta,AR,-24.7859,-65.4117,66.58,38,0,3.0,clear sky
306,Carauari,BR,-4.8828,-66.8958,94.6,42,7,2.51,clear sky
307,Tokur,RU,53.1333,132.9,44.74,94,100,8.3,light rain
308,Samarai,PG,-10.6167,150.6667,77.34,78,94,19.62,overcast clouds
309,Novocheremshansk,RU,54.3571,50.1666,46.58,64,99,9.89,light rain
310,Luganville,VU,-15.5333,167.1667,75.22,88,70,4.85,broken clouds
311,Feldkirchen An Der Donau,AT,48.3452,14.0513,73.72,64,20,10.36,few clouds
312,Puerto Baquerizo Moreno,EC,-0.9,-89.6,68.95,84,72,14.88,broken clouds
313,Kabelvag,NO,68.2114,14.4817,53.82,58,0,8.05,clear sky
314,Sinnamary,GF,5.3833,-52.95,86.43,65,2,7.76,clear sky
315,Geraldton,AU,-28.7667,114.6,56.12,76,90,5.75,overcast clouds
